R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
1,1.2,Nikola Jokic,C,DEN,72,34.6,0.606 (10.9/18.0),0.794 (5.4/6.8),1.5,28.7,13.2,8.7,1.3,0.8,4,14.57
2,3.5,Joel Embiid,C,PHI,67,34.2,0.537 (10.8/20.0),0.836 (9.9/11.9),1.2,32.6,10.2,4.2,1.1,1.6,3.3,13.26
3,5.4,Shai Gilgeous-Alexander,"PG,SG",OKC,67,35.5,0.486 (9.7/20.0),0.884 (9.2/10.4),1,29.6,5,5.6,1.5,0.9,2.9,10.68
4,2.7,Luka Doncic,PG,DAL,64,35.8,0.492 (10.8/22.0),0.777 (7.4/9.5),3.2,32.1,9.2,8.5,1.2,0.5,3.8,9.87
5,5.3,Jayson Tatum,"SF,PF",BOS,75,36.5,0.473 (10.0/21.1),0.858 (6.6/7.7),3.3,29.8,8.2,4.8,1.1,0.7,3,9.74
6,6.7,Stephen Curry,"PG,SG",GS,65,34.6,0.476 (9.4/19.8),0.914 (4.5/4.9),4.7,28,5.6,5.6,0.9,0.3,3.3,9.39
7,6.9,Tyrese Haliburton,"PG,SG",IND,73,34.7,0.488 (9.0/18.4),0.857 (2.6/3.0),2.8,23.3,4,10.5,1.7,0.4,2.6,9.33
8,11.2,Kevin Durant,"SF,PF",PHO,60,34.2,0.522 (8.8/16.8),0.900 (5.9/6.6),1.9,25.3,6.5,5,0.7,1,3.1,9.27
9,12.8,Anthony Davis,"PF,C",LAL,60,33.5,0.550 (9.3/17.0),0.759 (5.3/7.0),0.3,24.3,11.2,2.8,1.1,2.1,2.1,8.59
10,15.9,Devin Booker,"SG,SF",PHO,68,35.1,0.487 (9.8/20.1),0.861 (5.3/6.1),2.3,27.2,4.9,8.3,1.1,0.4,2.6,8.25
11,14.1,Kyrie Irving,"PG,SG",DAL,62,36.4,0.476 (8.6/18.0),0.909 (4.0/4.4),2.5,23.6,4.7,6.4,1.2,0.7,2.2,7.83
12,11.3,Damian Lillard,PG,MIL,67,33.6,0.458 (7.6/16.5),0.903 (6.5/7.2),3.5,25.1,3.7,6.4,0.9,0.3,2.9,7.76
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
13,18.1,Donovan Mitchell,"PG,SG",CLE,69,35.6,0.477 (9.8/20.5),0.860 (4.5/5.2),3.6,27.7,4.4,4.4,1.5,0.3,2.7,7.66
